Unnamed: 0,id,original_language,original_title,popularity,release_date,vote_average,vote_count,genre,overview,revenue,runtime,tagline,Unnamed: 13,Unnamed: 14
4557,10753.0,cn,警察故事續集,0.3215209029573112,1988-08-13,7.0,328,"['Action', 'Crime', 'Thriller']",The Hong Kong super-cop must stop a group of blackmailing bombers at the same time that the villains of the first Police Story are out for revenge.,0.0,122,Jackie Chan escalates his one-man war on crime.,,
4560,10166.0,en,The Witches,0.40024591714483876,1990-05-25,6.9,946,"['Adventure', 'Fantasy', 'Horror', 'Family']","A young boy named Luke and his grandmother go on vacation only to discover their hotel is hosting an international witch convention, where the Grand High Witch is unveiling her master plan to turn all children into mice. Will Luke fall victim to the witches' plot before he can stop them?",0.32594442232303644,91,Saving the world from witches is a tall order for a boy they've turned into a mouse!,,
4561,291356.0,en,In a Valley of Violence,0.29645627088719334,2016-10-21,6.0,386,"['Crime', 'Thriller', 'Western', 'Action']","The story of a drifter named Paul who arrives in a small town seeking revenge on the thugs who murdered his friend. Sisters Mary Anne and Ellen, who run the town's hotel, help Paul in his quest for vengeance.",0.0011383665955492575,104,A man can only take so much!,,
4563,476273.0,es,Mater,0.4720978624125101,2017-09-21,6.2,9,['Drama'],"Mater is a film about the struggle between love and law; about social differences and distances that these generate. And about love, that crosses all, allows all: both good and evil.",0.0,80,,,
4564,429476.0,en,Hell Fest,0.36124598020051696,2018-09-27,5.6,621,['Horror'],"On Halloween night at a horror theme park, a costumed killer begins slaying innocent patrons who believe that it's all part of the festivities.",0.0,89,Fun going in. Hell getting out.,,
4565,477489.0,fr,Dans la brume,0.27444983920802063,2018-04-04,6.2,576,"['Drama', 'Science Fiction', 'Thriller']","When a deadly mist engulfs Paris, people find refuge in the upper floors of the buildings. With no information, no electricity and hardly any supplies, Mathieu, Anna and their daughter Sarah try to survive the disaster.",0.060306883874490874,90,Don't breathe. Don't stop.,,
4566,17431.0,en,Moon,0.42231540450217536,2009-06-12,7.6,4441,"['Science Fiction', 'Drama']","With only three weeks left in his three year contract, Sam Bell is getting anxious to finally return to Earth. He is the only occupant of a Moon-based manufacturing facility along with his computer and assistant, GERTY. When he has an accident however, he wakens to find that he is not alone.",0.20710526893743716,97,The last place you'd ever expect to find yourself.,,
4567,258193.0,en,Alien Abduction,0.52642032915064,2014-04-04,5.6,263,"['Horror', 'Science Fiction', 'Thriller']",A vacationing family encounters an alien threat in this pulse-pounding thriller based on the real-life Brown Mountain Lights phenomenon in North Carolina.,0.0,85,Fear The Lights...,,
4568,10495.0,en,The Karate Kid Part III,0.3055047607037013,1989-06-29,5.9,1115,"['Action', 'Family', 'Drama', 'Adventure']","Despondent over the closing of his karate school, Cobra Kai teacher John Kreese joins a ruthless businessman and martial artist to get revenge on Daniel and Mr. Miyagi.",0.8266359152570768,112,"First it was teacher to student. Then it was father to son. Now, it's man to man.",,
4569,421057.0,en,40 Years of Rocky: The Birth of a Classic,0.40087647392647713,2020-06-09,7.8,33,['Documentary'],"Sylvester Stallone and John G. Avildsen narrate behind-the-scenes footage from the making of ""Rocky"" to mark the film's 40th anniversary.",0.0,60,An unknown actor. An underrated director. The ultimate underdog film.,,
4571,440596.0,en,Kiss and Cry,0.42398637997351646,2017-02-10,7.4,378,"['Romance', 'Drama', 'Music', 'TV Movie']","A romantic drama based on the story of Carley Allison, a promising 18 year old figure skater and singer who made medical history in her fight against a rare 1 in 3.5 billion type of sarcoma.",0.0,95,,,
4572,239571.0,en,The Best of Me,0.3135443596695881,2014-10-15,7.5,2176,"['Drama', 'Romance']",A pair of former high school sweethearts reunite after many years when they return to visit their small hometown.,0.762339008402846,117,You never forget your first love.,,
4573,631583.0,en,Sacrifice,0.4784980137461378,2021-02-09,5.2,14,['Horror'],Isaac and his pregnant wife visit a remote Norwegian village to claim an unexpected inheritance. The couple finds themselves caught in a nightmare when they encounter a sinister cult that worships a sea-dwelling deity.,0.0,87,Dream Well,,
4575,28468.0,it,La chiave,0.3211740967274102,1983-10-19,5.9,279,"['Drama', 'Romance']","After twenty years of marriage, art professor Nino Rolfe attempts to break down his wife Teresa's conventional modesty. Noticing her affection for their daughter's fiancé, Nino instigates her sexual interest in him as well. This sets off a chain of unexpected events and emotional complications, as Nino and his unpredictable fascist daughter find that they both enjoy being jealous.",0.0,110,,,
4576,164558.0,en,One Direction: This Is Us,0.4679361876536982,2013-08-30,8.5,857,"['Documentary', 'Music']","""One Direction: This Is Us"" is a captivating and intimate all-access look at life on the road for the global music phenomenon. Weaved with stunning live concert footage, this inspiring feature film tells the remarkable story of Niall, Zayn, Liam, Harry and Louis's really like to be One Direction.",0.0,92,Experience their lives on the road,,
4579,394117.0,en,The Florida Project,0.4238917964562708,2017-10-06,7.4,2052,['Drama'],"The story of a precocious six year-old and her ragtag group of friends whose summer break is filled with childhood wonder, possibility and a sense of adventure while the adults around them struggle with hard times.",0.23984571670656477,112,Welcome to a magical kingdom,,
4580,276624.0,ja,アイアムアヒーロー,0.39226937385711574,2016-04-23,7.3,236,"['Action', 'Science Fiction', 'Fantasy', 'Horror']","Hideo Suzuki is a 35-year-old mangaka assistant, whose life seem to be stuck around his exhausting but low-paying job, unfulfilled dreams, strange hallucinations and unsatisfying relationships. He sees himself as a supporting character in his own life, has low self-esteem, resulting in frustration. One day, the world as Hideo knows it is shattered by the presence of a disease that turns people into homicidal maniacs, whose first instinct is to attack and devour the nearest human.",0.0,126,Welcome to ZQN World,,
